ID,Title,ISBN,no,"
Proposed_by",Book_number
1,The Art of Communication,9.78144E+12,1,Mairenallen Joy Basilio,P90 .F783 2016
2,The Global Rise of Asian Transformation,9.78114E+12,1,Mairenallen Joy Basilio,HC412 .H784 2014
3,Media Effects and Society,9.78042E+12,1,Mairenallen Joy Basilio,P94 .P384 2017
4,Cross-Cultural Journalism: Communicating Strategically About Diversity,9.78114E+12,1,Mairenallen Joy Basilio,PN4749 .C76 2016
5,Lexical Processing and Second Language Acquisition,9.78042E+12,1,ดร.ฑิฆัมพร ซุฒิพรพงษ์,P118.2 .T65 2015
6,Second Language Sentence Processing,9.78042E+12,1,ดร.ฑิฆัมพร ซุฒิพรพงษ์,P118.2 .J87 2015
7,Theories in Second Language Acquisition,9.78042E+12,1,ดร.ฑิฆัมพร ซุฒิพรพงษ์,P118.2 .T45 2015
8,Corpus Linguistics for Grammar,9.78042E+12,1,ดร.ฑิฆัมพร ซุฒิพรพงษ์,PE1128.A2 J76 2015
9,Teaching and Researching: Reading,9.78141E+12,1,ดร.ฑิฆัมพร ซุฒิพรพงษ์,LB1050 .G668 2013
10,The Diagnosis of Reading in a Second or Foreign Language,9.78042E+12,1,ดร.ฑิฆัมพร ซุฒิพรพงษ์,P118.2 .D53 2015
11,A Functional Discourse Grammar for English,9.7802E+12,1,ดร.ฑิฆัมพร วุฒิพรพงษ์,P167 .K45 2015
12,อ่านวรรณกรรม GEN Z,9.78616E+12,2,ดร.สิทธินันท์ ศรีอ่อน,PL4200.5 ร556 2560
13,นานมาแล้ว :มีเรื่องเล่า นิทาน ตำนาน ชีวิต,9.78974E+12,2,ผศ ชญานนท์ แสงศรีจันทร์,GR312 ป141น 2556
14,ทฤษฎีคติชนวิทยา :วิธีวิทยาในการวิเคราะห์ตำนาน- นิทานพื้นบ้าน,,2,ผศ ชญานนท์ แสงศรีจันทร์,GR312 ศ444ท 2557
15,การวิจัยวรรณคดี,9.78975E+12,2,ผศ ชญานนท์ แสงศรีจันทร์,PN73 ก732 2556
16,ภาษาไทยสำหรับชาวต่างชาติ (THAI FOR A FOREIGNERS),9.78616E+12,5,ผศ.ชมพูนุท ธารีเธียร,PL4158.8 ส184 2559
17,ไวยากรณ์ของนิทาน :การศึกษานิทานเชิงโครงสร้าง,9.78617E+12,5,ผศ.ชมพูนุท ธารีเธียร,GR550 976 2557
18,ไวยากรณ์ไทย :หนังสือชุดบรมราชกุมารีอักษรานุรักษ์ คณะอักษรศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย ลำดับ 5,9.78617E+12,5,ผศ.ชมพูนุท ธารีเธียร,PL4161 น352 2558
19,"ภาษากฎหมายไทย (เพิ่มบทความชื่อ ""คำอภิปรายเรื่องภาษากฎหมายไทย"")",9.78616E+12,5,ผศ.ชมพูนุท ธารีเธียร,KPT92 ธ515ภ 2555
20,ภาษาและภาษาศาสตร์,9.78616E+12,5,ผศ.ชมพูนุท ธารีเธียร,P121 ภ487 2559
21,ประวัติศาสตร์ไทยร่วมสมัย (A HISTORY OF THAILAND),9.78974E+12,1,ผศ.สมศรี ชัยวณิชยา,DS571 บ773 2559
22,ประวัติศาสตร์อีสาน,9.78616E+12,1,ผศ.สมศรี ชัยวณิชยา,DS588 ต761 2557
23,The Multilingual Turn: Implications for SLA,9.78042E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,P118.2 .M86 2014
24,World Englishes Paperback with Audio CD,9.78052E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,PE1066 .K57 2007
25,Analysing Sentences: An Introduction to English Syntax,9.78114E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,PE1375 .B87 2016
26,Morphology and Lexical Semantics,9.78052E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,P245 .L54 2008
27,An Introduction to English Morphology: Words and Their Structure,9.78075E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,PE1171 .C27 2002
28,Contemporary Fiction : A Very Short Introduction,9.7802E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,PR889 .E15 2013
29,Motherless Tongues : The Insurgency of Language Amid Wars of Translation,9.78082E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,P119.32.P45 R34 2016
30,Psychoanalysis : A Very Short Introduction,9.7802E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,BF173 .P572 2015
31,Queer Wars,9.78075E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,HQ76.5 .A39 2016
32,Capital : An Abridged Edition,9.7802E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,HB501 .M392 2008
33,A Room of One's Own and Three Guineas,9.7802E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,PR6045.O72 W913 2015
34,Studying Plays,9.78034E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,PN1707 .W32 2016
35,The Odyssey,9.7802E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,PA4025.A5 H766 2008
36,The Iliad,9.7802E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,PA4025.A2 H766 2008
37,Selected Tales,9.7802E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,PT921 .G864 2009
38,Home,9.78147E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,Sst .S884H 2013
39,Under Western Eyes,9.7802E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,Fic .C754 2008
40,Longing,9.78147E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,Sst .B789L 2013
41,40 Short Stories : A Portable Anthology,9.78132E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,PN6120.2 .A15 2017
42,The Canon in Southeast Asian Literature,9.78114E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,PL3508.05 .C36 2000
43,Analysing English Sentences (Cambridge Textbooks in Linguistics),9.78052E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,PE1361 .R327 2016
44,Conversation Analysis (Cambridge Textbooks in Linguistics),9.78052E+13,1,สาขาภาษาอังกฤษและการสื่อสาร,P95.45 .C63 2016
45,Language Change (Cambridge Textbooks in Linguistics),9.78111E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,P142 .B93 2015
46,Figurative Language (Cambridge Textbooks in Linguistics),9.78052E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,P301.5.F53 D36 2014
47,Relevance Theory (Cambridge Textbooks in Linguistics),9.78052E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,P99.4.R44 C57 2013
48,Evolutionary Linguistics,9.78052E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,P116 .M45 2013
49,Clitics : An Introduction (Cambridge Textbooks in Linguistics),9.78052E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,P288 .S67 2012
50,Evolutionary Linguistics (Cambridge Textbooks in Linguistics),9.78052E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,P116 .M45 2013
51,Person (Cambridge Textbooks in Linguistics),9.78052E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,P240.85 .S56 2004
52,Stylistics (Cambridge Textbooks in Linguistics),9.78052E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,P240.85 .S56 2004
53,Agreement (Cambridge Textbooks in Linguistics),9.78052E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,P299.A35 C67 2006
54,Cognitive Linguistics (Cambridge Textbooks in Linguistics),9.78052E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,P165 .C76 2005
55,Grammaticalization (Cambridge Textbooks in Linguistics),9.78052E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,P299.G73 H66 2003
56,Binding Theory (Cambridge Textbooks in Linguistics),9.78052E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,P158.2 .B87 2005
57,Theories of Case (Cambridge Textbooks in Linguistics),9.78052E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,P240.6 .B88 2006
58,Lexical Meaning (Cambridge Textbooks in Linguistics),9.78052E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,P325 .M824 2010
59,Language Contact (Cambridge Textbooks in Linguistics),9.78052E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,P115 .M38 2009
60,Pragmatics and Grammar (Cambridge Textbooks in Linguistics),9.78052E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,P99.4.P72 A75 2008
61,"Register, Genre, and Style",9.78052E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,P302.815 .B536 2009
62,Understanding Minimalism (Cambridge Textbooks in Linguistics),9.78052E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,P158.28 .H67 2005
63,Pragmatics and Grammar,9.78052E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,P99.4.P72 A75 2008
64,Typology and Universals,9.78052E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,P204 .C941 2006
65,Introduction to Word Grammar,9.78052E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,PE1112 .H823 2010
66,The Cambridge Handbook of Linguistic Anthropology,9.78111E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,P35 .C25 2014
67,Heteroglossia as Practice and Pedagogy,9.7894E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,P40 .H589 2014
68,Language and Superdiversity,9.78114E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,P115.45 .L36 2016
69,Consumer Driven Innovation in Food and Personal Care Products,9.78185E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,TP370.5 .C66 2010
70,The SAGE Handbook of Qualitative Research,9.78141E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,H62 .S129 2011
71,Fundamentals of Physical Geography,9.78054E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,GB54.5 .P475 2011
72,"Tourism Social Media : Transformations in Identity, Community and Culture",9.78178E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,G155.A1 T727 2013
73,Innovation and Entrepreneurship,9.78112E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,HD53 .B476 2015
74,Exploring Digital Communication : Language in Action,9.78042E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,P96.T42 T33 2015
75,The Nature of Asian Politics,9.78052E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,JQ36 G475 2014
76,Philosophy of Religion : Towards A More Humane Approach,9.78111E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,BL51 .C6785 2014
77,The Key Texts of Political Philosophy : An Introduction,9.78052E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,JA71 .P3383 2014
78,"Tourism Geography : Critical Understandings of Place, Space and Experience",9.78042E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,G155.A1 W719 2015
79,Media and Society,9.78145E+12,1,สาขาภาษาอังกฤษและการสื่อสาร,HM1206 .C258 2015
80,ลพบุรี หลังวัฒนธรรมเขมร ศิลปวัฒนธรรมพิเศษ,9.78974E+12,1,สาขาวิชาประวัติศาสตร์,DS589.L67 ศ324 2559
81,ความสัมพันธ์ระหว่างชนชั้นปกครองของล้านนาและสุโขทัย ข้อคิดใหม่และข้อสังเกตบางประการ,9.78974E+12,1,สาขาวิชาประวัติศาสตร์,DS578 ฉ429 2559
82,เมื่อตะวันออกล่าอาณานิคม ศตวรรษที่ 15-19,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,JV221 ร798 2559
83,ยุคมืดของประวัติศาสตร์ไทย หลังบายน พุทธเถรวาท การเข้ามาของคนไท :ศิลปวัฒนธรรม ฉบับพิเศษ.,9.78974E+12,1,สาขาวิชาประวัติศาสตร์,DS561.5 ย333 2559
84,ประวัติศาสตร์รัฐไทยและสังคมไทย,9.78975E+12,1,สาขาวิชาประวัติศาสตร์,DS571 ส656 2558
85,พระราชพงศาวดารกรุงรัตนโกสินทร์ รัชกาลที่ 5,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,DS582 ด495 2559
86,การศึกษาในสมัยรัชกาลที่ 7 : ขยายโอกาส มุ่งคุณภาพ พร้อมคุณธรรม,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,LA1221 ป711 2559
87,คำให้การของชาวกรุงเทพฯ เมืองไทยสมัยรัชกาลที่ 8.,9.78616E+12,1,สาขาวิชาประวัติศาสตร์,DS585 ว555 2559
88,ก่อนกำแพงเบอร์ลินจะสิ้นสูญ,9.78616E+12,1,สาขาวิชาประวัติศาสตร์,DD289 บ176 2559
89,สยามในโลกสากล : สมุดภาพ,9.78616E+12,1,สาขาวิชาประวัติศาสตร์,DS571 ก976 2559
90,การเมืองในการทหารไทย สมัยรัชกาลที่ 6 ศิลปวัฒนธรรม ฉบับพิเศษ.,9.78974E+12,1,สาขาวิชาประวัติศาสตร์,DS583 ท595 2559
91,สุลต่านลุ่มทะเลสาบสงขลา,9.78616E+12,1,สาขาวิชาประวัติศาสตร์,DS570.M85 อ618 2557
92,ประวัติการเมืองไทยสยาม พ.ศ. 2475-2500 :หนังสือชุดประวัติศาสตร์การเมืองไทยร่วมสมัย เนื่องในโอกาส 100,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,JQ1745 ช495 2559
93,ประวัติเอเชียตะวันออกเฉียงใต้,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,DS525 ท322ป 2559
94,150 ปี ประวัติศาสตร์จีนยุค ป่วยไข้ จากสงครามฝิ่นสู่มหาอำนาจโลก,9.78616E+12,1,สาขาวิชาประวัติศาสตร์,DS754 ว844 2555
95,ประวัติศาสตร์เกาหลี แผ่นดินแห่งความแตกแยกจากอ อดีตจนถึงปัจจุบัน,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,DS907.18 ว844 2555
96,ประวัติศาสตร์พม่า แผ่นดินแห่งความแตกแยก,9.78616E+12,1,สาขาวิชาประวัติศาสตร์,DS528.5 อ618 2556
97,ประวัติศาสตร์ลาว : ดินแดนแห่งหุบเขาและความเปลี่ยนแปลง,9.78616E+12,1,สาขาวิชาประวัติศาสตร์,DS555.5 อ618 2558
98,แผ่นดินอาหรับ ประวัติศาสตร์และความเปลี่ยนแปลง,9.78616E+12,1,สาขาวิชาประวัติศาสตร์,DS215 อ169 2556
99,กรีก-โรมัน ประวัติศาสตร์และอารยธรรม ต้นธารภูม มิปัญญาและวิทยาการแห่งโลกตะวันตก,9.78616E+12,1,สาขาวิชาประวัติศาสตร์,DE86 ช112 2556
100,ประวัติศาสตร์พม่า,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,DS649.3 ท638 2558
101,ติมอร์ตะวันออก : เส้นทางสู่เอกราช,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,DS649.3 ท638 2558
102,ประวัติศาสตร์ลาว,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,DS555.5 ส155 2558
103,ประวัติศาสตร์เศรษฐกิจของฟิลิปปินส์,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,HC453 ค189 2556
104,ประวัติศาสตร์นิพนธ์โลกตะวันตก,9.78974E+12,1,สาขาวิชาประวัติศาสตร์,D13 ว169 2555
105,โลกตะวันตกก่อน ค.ศ. 1492,9.78999E+12,1,สาขาวิชาประวัติศาสตร์,CB245 อ169 2559
106,"สี่จังหวัดชายแดนภาคใต้ ปัตตานี, ยะลา, นราธิวาส, สตูล",9.78616E+12,1,สาขาวิชาประวัติศาสตร์,DS588.S6 ส752 2555
107,อินเดียศึกษา : การเมืองการปกครอง การต่างประเทศ ศาสนา สังคมและวัฒนธรรม,9.78974E+12,1,สาขาวิชาประวัติศาสตร์,DS445 จ154 2559
108,ประชุมพระราชนิพนธ์ในรัชกาลที่ 5 ภาคปกิณกะ 2.,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,DS582 จ657
109,ประชุมพระราชนิพนธ์ในรัชกาลที่ 5 ภาคปกิณกะ 1 / พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,DS582 จ657
110,ทรรปณะประวัติศาสตร์ยุโรปในคริสต์ศตวรรษที่ 20,9.78975E+12,1,สาขาวิชาประวัติศาสตร์,D424 ส553
111,แนวคิดและแนวทางการศึกษาประวัติศาสตร์ท้องถิ่น.,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,DS588.N67 ท231 2554
112,พระเจ้าแผ่นดินของเราและเหตุการณ์สำคัญในรัชสมัย,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,DS586 พ232 2558
113,มรดกความทรงจำแห่งนพบุรีศรีลโวทัยปุระ : ว่าด้วยโคลงเฉลิมพระเกียรติสมแด็จพระนารายณ์ฯ และจารึกโบราณแห่งเมืองละโว้,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,DS589.L67 ม192 2558
114,มรดกความทรงจำแห่งเมืองศรีสัชนาลัย-สุโขทัย ประมวลจารึกสมัยพระยาลิไทย.,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,DS589.S85 ม192 2558
115,การจราจลสมัยศรีอยุธยา,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,DS578 พ343 2558
116,ประวัติศาสตร์เวียดนาม ใต้เงามหาอำนาจ สู่เอกราชแห่งแผ่นดิน,9.78616E+12,1,สาขาวิชาประวัติศาสตร์,DS556.5 อ618ป 2558
117,จดหมายเหตุเรื่องทรงตั้งพระบรมวงศานุวงศ์กรุงรัตนโกสินทร์ เล่ม 1 พ.ศ.2457 และเล่ม 2 พ.ศ.2463,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,CS1254 จ132 2558
118,สารานุกรมประประวัติศาสตร์ไทย,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,DS571 ส254 2553
119,ในยุคอวสาน กรุงศรีฯ ไม่เคยเสื่อม ศิลปวัฒนธรรม ฉบับพิเศษ,9.78974E+12,1,สาขาวิชาประวัติศาสตร์,DS577 น967 2558
120,บันทึกการเดินทางของอ็องรี มูโอต์,9.78974E+12,1,สาขาวิชาประวัติศาสตร์,DS522.3 ม691 2559
121,พงศาวดารโยนก,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,DS588.N6 ป234 2557
122,พระประวัติสมเด็จพระนเรศวรมหาราช ศิลปวัฒนธรรม ฉบับพิเศษ.,9.78974E+12,1,สาขาวิชาประวัติศาสตร์,DS577 ด495 2555
123,จดหมายจากอินเดีย 2505-2508,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,DS436 ฉ236 2552
124,นายในสมัยรัชกาลที่ 6 ศิลปวัฒนธรรม ฉบับพิเศษ,9.78974E+12,1,สาขาวิชาประวัติศาสตร์,DS583 ช462 2559
125,ไบเซนไทน์ : รุ่งอรุณใหม่แห่งโรมัน,9.78616E+12,1,สาขาวิชาประวัติศาสตร์,DF550 อ544 2558
126,ทวารวดีในอีสาน :ศิลปวัฒนธรรมฉบับพิเศษ,9.78974E+12,1,สาขาวิชาประวัติศาสตร์,N7321 ร636 2558
127,มะละกา ปัตตาเวีย มะนิลา ปีนัง จักรวรรดิตะวันตตกยุคล่าอาณานิคมตะวันออก.,9.78616E+12,1,สาขาวิชาประวัติศาสตร์,DS596 ส661 2558
128,ประชุมพระราชนิพนธ์ในรัชกาลที่ 5 ภาคปกิณกะ 3.,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,DS582 จ657
129,กำเนิดสยามจากแผนที่ (Siam Mapped),9.78617E+12,1,สาขาวิชาประวัติศาสตร์,DS563.7 ธ118 2556
130,ประวัติศาสตร์ ศาสนา วัฒนธรรม และการศึกษา,9.78975E+12,1,สาขาวิชาประวัติศาสตร์,DS571 ป372 2556
131,เศรษฐกิจไทยในสมัยรัชกาลที่ 7 รักษาเสถียรภาพ ป ปูพื้นฐานการพัฒนา,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,DS584 พ488 2558
132,พระราชพงศาวดารกรุงรัตนโกสินทร์ รัชกาลที่ 2 ฉบับเจ้าพระยาทิพากรวงศ์ (ขำ บุนนาค),9.78974E+12,1,สาขาวิชาประวัติศาสตร์,DS579 ท644
133,เศรษฐกินการเมืองจีน,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,HC427.92 ว287 2557
134,ยุทธมรรคา เส้นทางเดินทัพ ไทย-เขมร,9.78974E+12,1,สาขาวิชาประวัติศาสตร์,DS571 ศ343 2557
135,ประวัติศาสตร์บรูไน,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,DS650.5 บ284 2557
136,ประวัติศาสตร์มาเลเซีย,9.78617E+13,1,สาขาวิชาประวัติศาสตร์,DS596 อ543 2557
137,ประวัติศาสตร์สิงคโปร์,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,DS610.4 ป373 2557
138,"นาคยุดครุฑ ""ลาว"" การเมืองในประวัติศาสตร์นิพนธธ์ไทย (ศิลปวัฒนธรรมฉบับพิเศษ )",9.78974E+12,1,สาขาวิชาประวัติศาสตร์,DS572 ก581 2558
139,10 ปัญญาชนสยาม เล่ม 1 ปัญญาชนแห่งรัฐสมบูรณาญาสิทธิราชย์,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,DS578 ส655 2557
140,10 ปัญญาชนสยาม เล่ม 2 ปัญญาชนหลังการปฏิวัติ 2475,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,DS578 ส655 2557
141,พระยาอนุมานราชธน ปราชญ์สามัญชนผู้นิรมิต ความเป็นไทย,9.78974E+12,1,สาขาวิชาประวัติศาสตร์,DS570.6.A58 ส657
142,สายธารแห่งความคิด 3,9.78975E+12,1,สาขาวิชาประวัติศาสตร์,DS571 ส658
143,สยามหรือไทย,9.78974E+12,1,สาขาวิชาประวัติศาสตร์,DS563.5 ช495 2551
144,เปลวไฟเลื่อมลายนาค,9.78974E+12,1,สาขาวิชาประวัติศาสตร์,DS511 บ672 2544
145,"สงครามโลก 1,2 (ฉบับสมบูรณ์)",9.78616E+12,1,สาขาวิชาประวัติศาสตร์,D521 ว884 2559
146,"เรื่องส่วนพระองค์ใน ""ไกลบ้าน""",9.78974E+12,1,สาขาวิชาประวัติศาสตร์,DS582 ศ336 2553
147,พัฒนาการและบทบาทของพระพุทธศาสนาบริเวณทะเลสาบสงขลา,9.78612E+12,1,สาขาวิชาประวัติศาสตร์,BQ562 ช436 2552
148,500 ปี ความสัมพันธ์สยามประเทศไทยกับโปรตุเกสฯ,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,DS575.5.P6 ห541 2556
149,บันทึกรับสั่ง สมเด็จฯกรมพระยาดำรงราชานุภาพประทานหม่อมราชวงศ์สุมนชาติ สวัสดิกุล,9.78975E+12,1,สาขาวิชาประวัติศาสตร์,DS572 ด495 2550
150,ประวัติศาสตร์ไทยในสายตาชาวจีน,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,DS571 ต219 2553
151,อินเดีย อดีต-ปัจจุบัน,9.78975E+12,1,สาขาวิชาประวัติศาสตร์,DS436 ส836
152,ปกิณกะหลักฐานทางประวัติศาสตร์ไทย,,1,สาขาวิชาประวัติศาสตร์,DS578 ศ723 2558
153,ถกแขมร์ แลเขมร,9.78612E+12,1,สาขาวิชาประวัติศาสตร์,DS554.8 ร631 2552
154,ไทยในยุคบูรพาภิวัตน์,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,DS578 อ893 2558
155,ตำนานมะโรงมหาวงศ์ พงศาวดารเมืองไทรบุรี,9.78974E+12,1,สาขาวิชาประวัติศาสตร์,DS588 ป279
156,ครึ่งศตวรรษแห่งการต้นหาและเส้นทางสู่อนาคตประวัติศาสตร์ท้องถิ่นไทย,9.78974E+12,1,สาขาวิชาประวัติศาสตร์,DS562 ย126ค
157,ศึกษารัฐไทย ย้อนสภาวะไทยศึกษา,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,DS571 อ945 2558
158,รวมผลงานแปลเรื่องบันทึกการเดินทางของ เมนเดส ปินโต,,1,สาขาวิชาประวัติศาสตร์,DS578 ม746 2548
159,ปลายขอบฟ้าฉาน,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,DS523.4.T35 จ758
160,จดหมายเหตุการเดินทางสู่สยามประเทศครั้งที่ 1 และ จดหมายเหตุการเดินทางครั้งที่ 2,9.78974E+12,1,สาขาวิชาประวัติศาสตร์,DS575.5.F8 ต311
161,จดหมายเหตุความทรงจำสมัยฝรั่งเศสยึดจันทบุรี,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,DS582 ส631 2552
162,อธิบายเบ็ดเตล็ดในเรื่องพงศาวดารสยาม,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,DS571 ด495
163,บันทึกความทรงจำ ขอ งบาทหลวง เดอพ แบส,9.78975E+12,1,สาขาวิชาประวัติศาสตร์,DS577 บ289 2550
164,อาณาจักรอียิปต์โบราณ ยุคสมัยฟาโรห์,9.78974E+12,1,สาขาวิชาประวัติศาสตร์,DT83 ป472 2558
165,สมเด็จเจ้าพระยาบรมมหาศรีสุริยวงศ์ (ช่วง บุนนาค),9.78974E+12,1,สาขาวิชาประวัติศาสตร์,CT1548 ณ362 2551
166,กระเบื้องถ้วย กะลาแตก,9.78975E+12,1,สาขาวิชาประวัติศาสตร์,NK4156.6 พ717
167,โบราณคดีเบื้องต้น พิมพ์ 2,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,CC165 ป467 2556
168,ต้นกำเนิดชนชั้นนายทุนในประเทศไทย,9.78974E+12,1,สาขาวิชาประวัติศาสตร์,HB501 ส732 2552
169,โบรารคดีเครื่องถ้วยสยามแหล่งเตาล้านนาและสุพรรณบุรี,9.78975E+12,1,สาขาวิชาประวัติศาสตร์,NK4156.6 ส665
170,สยาม ผ่านมุมกล้อง,9.78617E+12,1,สาขาวิชาประวัติศาสตร์,DS568 พ996 2558
171,พิจารณาในกรมดำรงฯ เมื่อครั้งพระชนม์ครบ 150 โดยรวบรวมทัศนะของ ส.ศิวรักษ์,9.78974E+12,1,สาขาวิชาประวัติศาสตร์,DS570.6.D3 ส113 2555
172,ประชุมพระนิพนธ์สรรพความรู้,9.78974E+12,1,สาขาวิชาประวัติศาสตร์,AC159 495 2555
173,หนังสือCOURT ข่าวราชการ เจ้านาย 11 พระองค์,,1,สาขาวิชาประวัติศาสตร์,CD582 ห144 2539
174,พระราชพงศาวดารกรุงธนบุรี (ฉบับพันจันทนุมาศ(เจิม),9.78974E+12,1,สาขาวิชาประวัติศาสตร์,DS577 พ375
175,บันทึกของทูตญี่ปุ่นผู้เห็นเหตุการณ์ปฏิวัติ 2475,9.78974E+12,1,สาขาวิชาประวัติศาสตร์,DS582 ย239
176,อ่านอินเดีย,9.78616E+12,1,สาขาวิชาประวัติศาสตร์,DS436 ส739
177,ญี่ปุ่นกับมหาเอเชียบูรพา,9.78975E+12,1,สาขาวิชาประวัติศาสตร์,DS845 ฉ233 2548
178,ประวัติศาตร์สังคมลุ่มน้ำท่าจีน,9.78975E+12,1,สาขาวิชาประวัติศาสตร์,DS588.C49 ส838 2544
179,สยามและลาวในสายตามิชชันนารีชาวอเมริกัน,,1,สาขาวิชาประวัติศาสตร์,DS563.5 ร365 2557
180,ฐานันดรไพร่,,1,สาขาวิชาประวัติศาสตร์,HT815 ข129 2556
181,ราชอาณาจักรสยาม,9.78975E+12,1,สาขาวิชาประวัติศาสตร์,DS571 ส319 2543
182,รายงานการประชุมเสนาบดีสภา รัชสมัยพระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว ภาคที่ 3,9744177543,1,สาขาวิชาประวัติศาสตร์,DS582 ร451
183,เอกสารสำคัญทางประวัติศาสตร์แห่งชาติของกระทรวงทหารเรือฯ ล.2,9749527615,1,สาขาวิชาประวัติศาสตร์,DS578 ส575 2547
184,เอกสารสำคัญทางประวัติศาสตร์แห่งชาติของกระทรวงทหารเรือฯ ล.1,,1,สาขาวิชาประวัติศาสตร์,DS578 ส575 2547
